ID,label,node,value
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Integration,Enterprise system integration,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Integration,OT/IoT system integration,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,AI model repository,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,AI models,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Alerts & notifications,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Cloud node,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Compute resources for data analysis,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Distributed ledger & smart contracts,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Edge AI & intelligence,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Edge node,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Model performance metrics,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Prediction,Optimal wave guiding layer thickness for maximum mass sensitivity
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Prescriptive recommendations,Design guideline for selecting wave guiding layer thickness to maximize sensor efficiency
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Intelligence,Simulation models,Finite Element Method (FEM) multiphysics model of Love wave propagation in piezoelectric substrate and guiding layer
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Management,Actuator configuration,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Management,Device management,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Management,Event logging,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Management,I/O performance metrics,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Management,System monitoring,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Management,Command and control,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Management,Orchestration,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Trustworthiness,Data encryption,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Trustworthiness,Privacy,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Trustworthiness,Reliability,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Trustworthiness,Resilience,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Trustworthiness,Security,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,3D Rendering,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,Advanced visualization,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,Augmented reality,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,Dashboards,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,Entity Relationship Visualization,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,Gamification,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,Gaming engine visualization,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,Real-time monitoring,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,User Experience,Virtual reality,Not available
Digital Twin for control code validation in battery cell production,Paper Metadata,Paper title,Digital Twin for control code validation in battery cell production
Digital Twin for control code validation in battery cell production,Paper Metadata,Paper DOI,10.37544/1436-4980-2023-07-08-6
Digital Twin for control code validation in battery cell production,Paper Metadata,Paper abstract,"Bei diesem Beitrag handelt es sich um einen wissenschaftlich begutachteten und freigegebenen Fachaufsatz (""reviewed paper"")."
Digital Twin for control code validation in battery cell production,DT General Information,Biomodels link,Not available
Digital Twin for control code validation in battery cell production,DT General Information,DT performance metrics,Not available
Digital Twin for control code validation in battery cell production,DT General Information,DT readiness scale,Not available
Digital Twin for control code validation in battery cell production,DT General Information,FAIR sharing link,Not available
Digital Twin for control code validation in battery cell production,DT General Information,Scientific domain,Engineering
Digital Twin for control code validation in battery cell production,DT General Information,Stage of DT development,Research / Early development (inferred from description of first approaches and no mature safety concept)
Digital Twin for control code validation in battery cell production,DT General Information,Type of Digital Twin,Digital twin
Digital Twin for control code validation in battery cell production,DT General Information,Use case,Validation and assurance of control code (SPS programs) for extrusion process in lithium-ion battery electrode manufacturing to improve process accuracy and reduce development time
Digital Twin for control code validation in battery cell production,Data Services,Asynchronous integration,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data aggregation,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data type,Sensor data; Control program data; Process data
Digital Twin for control code validation in battery cell production,Data Services,Data format,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data integration,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data outputs,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data pipeline,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data processing,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data source,Sensors (recommended for detecting hazardous situations); SPS (programmable logic controller) program data
Digital Twin for control code validation in battery cell production,Data Services,Data Storage,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data archive services,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data streaming,Not available
Digital Twin for control code validation in battery cell production,Data Services,Data transformation,Not available
Digital Twin for control code validation in battery cell production,Data Services,DT model repository,Not available
Digital Twin for control code validation in battery cell production,Data Services,DT instance repository,Not available
Digital Twin for control code validation in battery cell production,Data Services,Real-time processing,Not available
Digital Twin for control code validation in battery cell production,Data Services,Sensor,Planetenmischer sensors (inferred); Sensors for hazardous situation detection (recommended)
Digital Twin for control code validation in battery cell production,Data Services,Sensor metadata,Not available
Digital Twin for control code validation in battery cell production,Data Services,Simulation model repository,Not available
Digital Twin for control code validation in battery cell production,Data Services,Synthetic data generation,Not available
Digital Twin for control code validation in battery cell production,Data Services,Temporal data store,Not available
Digital Twin for control code validation in battery cell production,Integration,API services,Not available
Digital Twin for control code validation in battery cell production,Integration,Digital Twin federation,Not available
Digital Twin for control code validation in battery cell production,Integration,Interoperability,Not available
Digital Twin for control code validation in battery cell production,Integration,Network architecture,Not available
Digital Twin for control code validation in battery cell production,Integration,Ontology,Not available
Digital Twin for control code validation in battery cell production,Integration,Collaboration platform integration,Not available
Digital Twin for control code validation in battery cell production,Integration,Enterprise system integration,Not available
Digital Twin for control code validation in battery cell production,Integration,OT/IoT system integration,Not available
Digital Twin for control code validation in battery cell production,Intelligence,AI model repository,Not available
Digital Twin for control code validation in battery cell production,Intelligence,AI models,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Alerts & notifications,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Analytical model,Petri nets for SPS program validation
Digital Twin for control code validation in battery cell production,Intelligence,Cloud node,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Compute resources for data analysis,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Distributed ledger & smart contracts,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Edge AI & intelligence,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Edge node,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Mathematical models,Petri nets
Digital Twin for control code validation in battery cell production,Intelligence,Model performance metrics,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Prediction,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Prescriptive recommendations,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Simulation models,Not available
Digital Twin for control code validation in battery cell production,Intelligence,Federated learning,Not available
Digital Twin for control code validation in battery cell production,Management,Actuator configuration,Not available
Digital Twin for control code validation in battery cell production,Management,Compliance indicator,Not available
Digital Twin for control code validation in battery cell production,Management,Device management,Not available
Digital Twin for control code validation in battery cell production,Management,Event logging,Not available
Digital Twin for control code validation in battery cell production,Management,I/O performance metrics,Not available
Digital Twin for control code validation in battery cell production,Management,System monitoring,Not available
Digital Twin for control code validation in battery cell production,Management,Command and control,Not available
Digital Twin for control code validation in battery cell production,Management,Orchestration,Not available
Digital Twin for control code validation in battery cell production,Trustworthiness,Data encryption,Not available
Digital Twin for control code validation in battery cell production,Trustworthiness,Privacy,Not available
Digital Twin for control code validation in battery cell production,Trustworthiness,Reliability,Not available
Digital Twin for control code validation in battery cell production,Trustworthiness,Resilience,Not available
Digital Twin for control code validation in battery cell production,Trustworthiness,Security,Not available
Digital Twin for control code validation in battery cell production,User Experience,3D Rendering,Not available
Digital Twin for control code validation in battery cell production,User Experience,Advanced visualization,Not available
Digital Twin for control code validation in battery cell production,User Experience,Augmented reality,Not available
Digital Twin for control code validation in battery cell production,User Experience,Dashboards,Not available
Digital Twin for control code validation in battery cell production,User Experience,Entity Relationship Visualization,Not available
Digital Twin for control code validation in battery cell production,User Experience,Gamification,Not available
Digital Twin for control code validation in battery cell production,User Experience,Gaming engine Visualization,Not available
Digital Twin for control code validation in battery cell production,User Experience,Real-time monitoring,Not available
Digital Twin for control code validation in battery cell production,User Experience,Virtual reality,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Paper Metadata,Paper title,Distributed digital twins for health monitoring: resource constrained aero-engine fleet management
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Paper Metadata,Paper DOI,10.1017/aer.2024.23
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Paper Metadata,Paper abstract,"Sensed data from high-value engineering systems is being increasingly exploited to optimise their operation and maintenance. In aerospace, returning all measured data to a central repository is prohibitively expensive, often causing useful, high-value data to be discarded. The ability to detect, prioritise and return useful data on asset and in real-time is vital to move toward more sustainable maintenance activities. We present a data-driven solution for on-line detection and prioritisation of anomalous data that is centrally processed and used to update individualised digital twins (DT) distributed onto remote machines. The DT is embodied as a convolutional neural network (CNN) optimised for real-time execution on a resource constrained gas turbine monitoring computer. The CNN generates a state prediction with uncertainty, which is used as a metric to select informative data for transfer to a remote fleet monitoring system. The received data is screened for faults before updating the weights on the CNN, which are synchronised between real and virtual asset. Results show the successful detection of a known in-flight engine fault and the collection of data related to high novelty pre-cursor events that were previously unrecognised. We demonstrate that data related to novel operation are also identified for transfer to the fleet monitoring system, allowing model improvement by retraining. In addition to these industrial dataset results, reproducible examples are provided for a public domain NASA dataset. The data prioritisation solution is capable of running in real-time on production-standard low-power embedded hardware and is deployed on the Rolls-Royce Pearl 15 engines."
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,DT General Information,Biomodels link,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,DT General Information,DT performance metrics,"Mean Absolute Error (MAE), prediction uncertainty, novelty detection metric, model prediction residual"
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,DT General Information,DT readiness scale,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,DT General Information,FAIR sharing link,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,DT General Information,Scientific domain,Engineering
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,DT General Information,Stage of DT development,Deployed on Rolls-Royce Pearl 15 engines; operational deployment on embedded hardware; implies TRL 7-8
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,DT General Information,Type of Digital Twin,Digital twin
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,DT General Information,Use case,Real-time anomaly detection and data prioritisation for aero-engine fleet health monitoring under resource constraints; reduces data transmission volume by selecting novel and informative data for transfer and model updating
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Asynchronous integration,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data aggregation,Novelty detection via residuals between model prediction and sensor data; aggregation of anomaly scores to prioritize data
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data type,"Sensor data (gas turbine engine parameters), operational data, anomaly/fault data"
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data format,Not explicitly mentioned; inferred likely formats: MB-sized binary or CSV for transmission
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data integration,Synchronization of CNN model weights between asset and fleet monitoring system; integration of sensor data with CNN predictions
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data outputs,State predictions with uncertainty metrics; anomaly scores; prioritized data subsets for transmission
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data pipeline,Sensor data streamed into temporary buffer on embedded hardware; CNN processes data in real-time; anomaly detection triggers data prioritization; selected data transmitted to remote fleet monitoring system; remote fault screening and model retraining
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data processing,Real-time CNN inference; prediction error calculation; novelty detection; fault screening on received data; model weight updates
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data source,On-board gas turbine engine sensors; Rolls-Royce Pearl 15 engine embedded monitoring computer; NASA public domain dataset for validation
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data Storage,Embedded low-power hardware storage; temporary buffer on asset; remote fleet monitoring system storage (cloud or server-based inferred)
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data archive services,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data streaming,Real-time streaming of sensor data into temporary buffer; prioritized data streamed to remote system
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Data transformation,Calculation of residuals (difference between model prediction and sensor data); uncertainty quantification from CNN output
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,DT model repository,Not explicitly named; inferred CNN model stored locally on embedded hardware and remotely on fleet monitoring system
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,DT instance repository,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Real-time processing,Supported via CNN optimized for real-time execution on resource constrained embedded gas turbine monitoring computer
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Sensor,"Gas turbine engine sensors measuring parameters such as N1 fan speed, pressure near compressor exit (P30), temperature near compressor exit (T30), turbine gas temperature (TGT)"
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Sensor metadata,"Sensor types: pressure, temperature, speed sensors; units: psi, K, %; sampling rate and accuracy not specified"
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Simulation model repository,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Synthetic data generation,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Data Services,Temporal data store,Temporary buffer on embedded hardware for streaming data; no specific temporal database mentioned
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Integration,Digital Twin federation,Distributed DTs deployed on asset and on-ground fleet monitoring system; synchronization of CNN weights between real and virtual assets; no specific standards mentioned
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Integration,Interoperability,Not explicitly mentioned; inferred use of embedded system communication protocols for data transfer
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Integration,Network architecture,Not detailed; involves embedded hardware on asset communicating with remote fleet monitoring system
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Integration,Ontology,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Integration,Collaboration platform integration,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Integration,Enterprise system integration,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Integration,OT/IoT system integration,Embedded gas turbine monitoring computer on Rolls-Royce Pearl 15 engine; integration with on-board sensors
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,AI models,Convolutional Neural Network (CNN) optimized for real-time execution on embedded hardware
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Alerts & notifications,Not explicitly mentioned; inferred anomaly detection triggers data prioritization and transfer
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Analytical model,CNN probabilistic model predicting state with uncertainty; novelty detection via residuals
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Cloud node,Not explicitly mentioned; remote fleet monitoring system likely cloud or server-based
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Compute resources for data analysis,Low-power embedded gas turbine monitoring computer; remote fleet monitoring system compute resources not specified
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Distributed ledger & smart contracts,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Edge AI & intelligence,CNN runs on embedded hardware at the edge (on the engine)
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Edge node,Embedded gas turbine monitoring computer on Rolls-Royce Pearl 15 engine performing real-time inference and data prioritization
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Mathematical models,Probabilistic CNN model predicting mean and uncertainty of state; residual calculation for anomaly detection
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Prediction,State prediction of gas turbine engine health parameters with uncertainty quantification
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Prescriptive recommendations,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Simulation models,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Intelligence,Federated learning,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Management,Compliance indicator,"Model prediction accuracy (MAE), synchronization of CNN weights between real and virtual asset, data fidelity via novelty detection"
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Management,Device management,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Management,Event logging,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Management,I/O performance metrics,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Management,System monitoring,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Management,Command and control,Not available
Distributed digital twins for health monitoring: resource constrained aero-engine fleet management,Management,Orchestration,Not available
Domain adaptation with transfer learning for pasture digital twins,Paper Metadata,Paper title,Domain adaptation with transfer learning for pasture digital twins  
Domain adaptation with transfer learning for pasture digital twins,Paper Metadata,Paper DOI,10.1017/eds.2024.6  
Domain adaptation with transfer learning for pasture digital twins,Paper Metadata,Paper abstract,"Domain adaptation is important in agriculture because agricultural systems have their own individual characteristics. Applying the same treatment practices (e.g., fertilization) to different systems may not have the desired effect due to those characteristics. Domain adaptation is also an inherent aspect of digital twins. In this work, we examine the potential of transfer learning for domain adaptation in pasture digital twins. We use a synthetic dataset of grassland pasture simulations to pretrain and fine-tune machine learning metamodels for nitrogen response rate prediction. We investigate the outcome in locations with diverse climates, and examine the effect on the results of including more weather and agricultural management practices data during the pretraining phase. We find that transfer learning seems promising to make the models adapt to new conditions. Moreover, our experiments show that adding more weather data on the pretraining phase has a small effect on fine-tuned model performance compared to adding more management practices. This is an interesting finding that is worth further investigation in future studies.  "
Domain adaptation with transfer learning for pasture digital twins,DT General Information,Biomodels link,Not available  
Domain adaptation with transfer learning for pasture digital twins,DT General Information,DT performance metrics,Model performance metrics related to nitrogen response rate (NRR) prediction accuracy; specific metrics not explicitly named  
Domain adaptation with transfer learning for pasture digital twins,DT General Information,DT readiness scale,Not available  
Domain adaptation with transfer learning for pasture digital twins,DT General Information,FAIR sharing link,Not available  
Domain adaptation with transfer learning for pasture digital twins,DT General Information,Scientific domain,Life Sciences - Agriculture  
Domain adaptation with transfer learning for pasture digital twins,DT General Information,Stage of DT development,TRL 4-5 (Experimental validation in relevant environment inferred from case study and simulation use)  
Domain adaptation with transfer learning for pasture digital twins,DT General Information,Type of Digital Twin,Digital Twin  
Domain adaptation with transfer learning for pasture digital twins,DT General Information,Use case,Prediction of nitrogen response rate (NRR) in pasture growth across diverse climatic locations using transfer learning for domain adaptation in agricultural digital twins  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Asynchronous integration,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data aggregation,Use of full factorial design for simulation parameters; aggregation of pasture dry matter harvested over 2 months post-fertilization  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data type,"Synthetic simulation data, weather data, agricultural management practices data, soil type data, biophysical data  "
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data format,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data integration,Integration of synthetic simulation outputs with machine learning metamodels; transfer learning for domain adaptation  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data outputs,Predicted nitrogen response rate (NRR) values at farm level  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data pipeline,Simulation data generated by APSIM AgPasture module → synthetic dataset creation → pretraining ML metamodels → fine-tuning on target location data → NRR prediction  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data processing,Pretraining and fine-tuning of ML metamodels; handling of synthetic data; inclusion of weather and management variability; no explicit mention of filtering or normalization  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data source,Synthetic data from APSIM AgPasture simulations; historical weather data; agricultural management practices data; soil type data  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data Storage,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data archive services,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data streaming,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Data transformation,Use of transfer learning to adapt pretrained ML metamodels to new domain data; synthetic data generation from process-based model simulations  
Domain adaptation with transfer learning for pasture digital twins,Data Services,DT model repository,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,DT instance repository,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Real-time processing,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Sensor,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Sensor metadata,Not available  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Synthetic data generation,Synthetic dataset generated from APSIM AgPasture simulations used for pretraining ML metamodels  
Domain adaptation with transfer learning for pasture digital twins,Data Services,Temporal data store,Not available  
Domain adaptation with transfer learning for pasture digital twins,Integration,API services,Not available  
Domain adaptation with transfer learning for pasture digital twins,Integration,Digital Twin federation,Not available  
Domain adaptation with transfer learning for pasture digital twins,Integration,Interoperability,Not available  
Domain adaptation with transfer learning for pasture digital twins,Integration,Network architecture,Not available  
Domain adaptation with transfer learning for pasture digital twins,Integration,Ontology,Not available  
Domain adaptation with transfer learning for pasture digital twins,Integration,Collaboration platform integration,Not available  
Domain adaptation with transfer learning for pasture digital twins,Integration,Enterprise system integration,Not available  
Domain adaptation with transfer learning for pasture digital twins,Integration,OT/IoT system integration,Not available  
Domain adaptation with transfer learning for pasture digital twins,Intelligence,AI model repository,Not available  
Domain adaptation with transfer learning for pasture digital twins,Intelligence,AI models,Machine learning metamodels pretrained and fine-tuned using transfer learning; specific ML algorithms not named  
Domain adaptation with transfer learning for pasture digital twins,Intelligence,Alerts & notifications,Not available  
Domain adaptation with transfer learning for pasture digital twins,Intelligence,Analytical model,ML metamodels combining process-based simulation outputs and machine learning for nitrogen response rate prediction  
Domain adaptation with transfer learning for pasture digital twins,Intelligence,Cloud node,Not available  
